[Epoch 0] Training: MSE=0.33989623, CE=1.93947802, LL=1.07270335, Correct: 50/150, Acc: 0.33333333
[Epoch 27] Training: MSE=0.22371923, CE=1.30062268, LL=0.56667376, Correct: 100/150, Acc: 0.66666667
[Epoch 28] Training: MSE=0.24331341, CE=1.40561068, LL=0.59374334, Correct: 100/150, Acc: 0.66666667
[Epoch 29] Training: MSE=0.24199777, CE=1.39912289, LL=0.59138124, Correct: 100/150, Acc: 0.66666667
[Epoch 30] Training: MSE=0.23946870, CE=1.38389155, LL=0.59045876, Correct: 100/150, Acc: 0.66666667
[Epoch 31] Training: MSE=0.23599222, CE=1.36317079, LL=0.58667198, Correct: 100/150, Acc: 0.66666667
[Epoch 32] Training: MSE=0.23289589, CE=1.34470190, LL=0.58358964, Correct: 100/150, Acc: 0.66666667
[Epoch 33] Training: MSE=0.23009235, CE=1.32814460, LL=0.58092824, Correct: 100/150, Acc: 0.66666667
[Epoch 34] Training: MSE=0.22722565, CE=1.31165773, LL=0.57818266, Correct: 100/150, Acc: 0.66666667
[Epoch 35] Training: MSE=0.22334286, CE=1.29038726, LL=0.57330663, Correct: 100/150, Acc: 0.66666667
[Epoch 36] Training: MSE=0.22467301, CE=1.29779632, LL=0.57115706, Correct: 100/150, Acc: 0.66666667
[Epoch 37] Training: MSE=0.22330533, CE=1.29038782, LL=0.56749807, Correct: 100/150, Acc: 0.66666667
[Epoch 38] Training: MSE=0.22251684, CE=1.28617554, LL=0.56502888, Correct: 100/150, Acc: 0.66666667
[Epoch 39] Training: MSE=0.22101269, CE=1.27807819, LL=0.56246911, Correct: 100/150, Acc: 0.66666667
[Epoch 40] Training: MSE=0.21812236, CE=1.26267441, LL=0.55868410, Correct: 100/150, Acc: 0.66666667
[Epoch 41] Training: MSE=0.20483844, CE=1.19437942, LL=0.53995532, Correct: 102/150, Acc: 0.68000000
[Epoch 42] Training: MSE=0.20591363, CE=1.20072089, LL=0.53740017, Correct: 102/150, Acc: 0.68000000
[Epoch 43] Training: MSE=0.20719959, CE=1.20799052, LL=0.53623096, Correct: 102/150, Acc: 0.68000000
[Epoch 44] Training: MSE=0.20621653, CE=1.20347843, LL=0.53255753, Correct: 102/150, Acc: 0.68000000
[Epoch 45] Training: MSE=0.21001333, CE=1.22367814, LL=0.53696177, Correct: 102/150, Acc: 0.68000000
[Epoch 46] Training: MSE=0.19907007, CE=1.16766667, LL=0.51856894, Correct: 102/150, Acc: 0.68000000
[Epoch 47] Training: MSE=0.21210025, CE=1.23557129, LL=0.53930003, Correct: 102/150, Acc: 0.68000000
[Epoch 48] Training: MSE=0.18942656, CE=1.11978422, LL=0.50134001, Correct: 103/150, Acc: 0.68666667
[Epoch 49] Training: MSE=0.20704620, CE=1.20942254, LL=0.53171872, Correct: 102/150, Acc: 0.68000000
[Epoch 50] Training: MSE=0.20664139, CE=1.20742322, LL=0.53013769, Correct: 102/150, Acc: 0.68000000
[Epoch 51] Training: MSE=0.20585190, CE=1.20331541, LL=0.52882492, Correct: 102/150, Acc: 0.68000000
[Epoch 52] Training: MSE=0.20493768, CE=1.19855574, LL=0.52753879, Correct: 102/150, Acc: 0.68000000
[Epoch 53] Training: MSE=0.20367382, CE=1.19199722, LL=0.52569989, Correct: 102/150, Acc: 0.68000000
[Epoch 54] Training: MSE=0.20210133, CE=1.18388439, LL=0.52332046, Correct: 102/150, Acc: 0.68000000
[Epoch 55] Training: MSE=0.20017765, CE=1.17402428, LL=0.52031668, Correct: 103/150, Acc: 0.68666667
[Epoch 56] Training: MSE=0.19791986, CE=1.16253436, LL=0.51673089, Correct: 103/150, Acc: 0.68666667
[Epoch 57] Training: MSE=0.19535639, CE=1.14958619, LL=0.51262232, Correct: 103/150, Acc: 0.68666667
[Epoch 58] Training: MSE=0.19251818, CE=1.13535662, LL=0.50803700, Correct: 104/150, Acc: 0.69333333
[Epoch 59] Training: MSE=0.18943311, CE=1.11999754, LL=0.50299692, Correct: 105/150, Acc: 0.70000000
[Epoch 60] Training: MSE=0.18612719, CE=1.10364146, LL=0.49751024, Correct: 107/150, Acc: 0.71333333
[Epoch 61] Training: MSE=0.18262490, CE=1.08640345, LL=0.49158036, Correct: 108/150, Acc: 0.72000000
[Epoch 62] Training: MSE=0.17894371, CE=1.06835637, LL=0.48520180, Correct: 109/150, Acc: 0.72666667
[Epoch 63] Training: MSE=0.17508312, CE=1.04947938, LL=0.47834243, Correct: 111/150, Acc: 0.74000000
[Epoch 64] Training: MSE=0.17101285, CE=1.02960346, LL=0.47092162, Correct: 114/150, Acc: 0.76000000
[Epoch 65] Training: MSE=0.16665820, CE=1.00834256, LL=0.46277877, Correct: 114/150, Acc: 0.76000000
[Epoch 66] Training: MSE=0.16186166, CE=0.98490759, LL=0.45359032, Correct: 114/150, Acc: 0.76000000
[Epoch 67] Training: MSE=0.15627013, CE=0.95755788, LL=0.44263095, Correct: 114/150, Acc: 0.76000000
[Epoch 68] Training: MSE=0.14901146, CE=0.92203809, LL=0.42809508, Correct: 118/150, Acc: 0.78666667
[Epoch 69] Training: MSE=0.13783717, CE=0.86753202, LL=0.40530680, Correct: 119/150, Acc: 0.79333333
[Epoch 70] Training: MSE=0.11933198, CE=0.77832991, LL=0.36715043, Correct: 124/150, Acc: 0.82666667
[Epoch 71] Training: MSE=0.10945932, CE=0.73115684, LL=0.34605900, Correct: 128/150, Acc: 0.85333333
[Epoch 72] Training: MSE=0.11737508, CE=0.76874624, LL=0.36092694, Correct: 125/150, Acc: 0.83333333
[Epoch 73] Training: MSE=0.10927923, CE=0.72982546, LL=0.34306783, Correct: 128/150, Acc: 0.85333333
[Epoch 74] Training: MSE=0.11557353, CE=0.75991264, LL=0.35497794, Correct: 126/150, Acc: 0.84000000
[Epoch 75] Training: MSE=0.10921708, CE=0.72906624, LL=0.34090312, Correct: 128/150, Acc: 0.85333333
[Epoch 76] Training: MSE=0.11301352, CE=0.74722204, LL=0.34803226, Correct: 126/150, Acc: 0.84000000
[Epoch 77] Training: MSE=0.10889294, CE=0.72699948, LL=0.33878593, Correct: 128/150, Acc: 0.85333333
[Epoch 78] Training: MSE=0.10998486, CE=0.73206457, LL=0.34049768, Correct: 128/150, Acc: 0.85333333
[Epoch 79] Training: MSE=0.10761777, CE=0.72025987, LL=0.33502264, Correct: 129/150, Acc: 0.86000000
[Epoch 80] Training: MSE=0.10678676, CE=0.71592045, LL=0.33278789, Correct: 129/150, Acc: 0.86000000
[Epoch 81] Training: MSE=0.10498448, CE=0.70680152, LL=0.32852193, Correct: 129/150, Acc: 0.86000000
[Epoch 82] Training: MSE=0.10319947, CE=0.69773603, LL=0.32427520, Correct: 129/150, Acc: 0.86000000
[Epoch 83] Training: MSE=0.10113032, CE=0.68724533, LL=0.31940617, Correct: 129/150, Acc: 0.86000000
[Epoch 84] Training: MSE=0.09890605, CE=0.67596080, LL=0.31418349, Correct: 129/150, Acc: 0.86000000
[Epoch 85] Training: MSE=0.09664843, CE=0.66447854, LL=0.30887734, Correct: 131/150, Acc: 0.87333333
[Epoch 86] Training: MSE=0.09450248, CE=0.65351008, LL=0.30381584, Correct: 131/150, Acc: 0.87333333
[Epoch 87] Training: MSE=0.09252367, CE=0.64333064, LL=0.29912918, Correct: 131/150, Acc: 0.87333333
[Epoch 88] Training: MSE=0.09065901, CE=0.63368593, LL=0.29469877, Correct: 131/150, Acc: 0.87333333
[Epoch 89] Training: MSE=0.08882565, CE=0.62417564, LL=0.29033170, Correct: 131/150, Acc: 0.87333333
[Epoch 90] Training: MSE=0.08696792, CE=0.61453152, LL=0.28589242, Correct: 131/150, Acc: 0.87333333
[Epoch 91] Training: MSE=0.08507876, CE=0.60472286, LL=0.28135439, Correct: 131/150, Acc: 0.87333333
[Epoch 92] Training: MSE=0.08320521, CE=0.59498389, LL=0.27681506, Correct: 133/150, Acc: 0.88666667
[Epoch 93] Training: MSE=0.08142377, CE=0.58569286, LL=0.27244386, Correct: 133/150, Acc: 0.88666667
[Epoch 94] Training: MSE=0.07979103, CE=0.57712893, LL=0.26837303, Correct: 133/150, Acc: 0.88666667
[Epoch 95] Training: MSE=0.07831577, CE=0.56933537, LL=0.26463285, Correct: 133/150, Acc: 0.88666667
[Epoch 96] Training: MSE=0.07697374, CE=0.56219254, LL=0.26118019, Correct: 134/150, Acc: 0.89333333
[Epoch 97] Training: MSE=0.07573288, CE=0.55554221, LL=0.25795193, Correct: 135/150, Acc: 0.90000000
[Epoch 98] Training: MSE=0.07456498, CE=0.54924517, LL=0.25489053, Correct: 136/150, Acc: 0.90666667
[Epoch 99] Training: MSE=0.07344778, CE=0.54319159, LL=0.25194933, Correct: 136/150, Acc: 0.90666667
